档案店铺ID,平台,档案店铺名称,店铺状态,责任单位,责任人,联系人,涉及品种,历史记录数,历史链接数,历史品牌列表,平台店铺ID,店铺主页链接,第一批选择依据
W03547,京东,奇冠大药房官方旗舰店,正常,KA一大区,王世田,,,597,112,优立维、依伦平、品多、天依宁、天舒平、希佳、托妥、晴瑞欣、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W04557,京东,上元堂大药房旗舰店,正常,KA一大区,王世田,,,386,77,依伦平、品多、天依宁、天舒平、希佳、托妥、晴瑞欣、晴诺舒、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W01549,京东,康药师旗舰店,正常,KA三大区,孙英昌,,,326,56,优立维、依伦平、品多、天舒平、托妥、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W01027,京东,高济再康大药房旗舰店,正常,KA一大区,王世田,项宏标,依伦平、畅凡等,308,64,依伦平、品多、天舒平、希佳、托妥、晴瑞欣、晴诺舒、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W06561,京东,汇华强盛大药房旗舰店,正常,KA一大区,王世田,,欣速安,271,41,依伦平、托妥、欣速安、畅凡,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W06614,京东,贝克大药房旗舰店,正常,商业二大区,孙成,,托妥、希佳等,265,52,优立维、品多、天舒平、托妥、欣速安、甘泽、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W03569,京东,江苏省医药大药房旗舰店,正常,KA一大区,王世田,项宏标,,259,50,依伦平、天依宁、天舒平、希佳、托妥、晴诺舒、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W05560,京东,千百方大药房旗舰店,正常,商业一大区,张智一,,,245,60,葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W03785,京东,金湖金普大药房官方旗舰店,正常,KA一大区,王世田,,,242,51,依伦平、天舒平、希佳、托妥、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W02865,京东,贵和祥大药房旗舰店,正常,KA三大区,孙英昌,,,235,42,依伦平、天依宁、天舒平、托妥、晴瑞欣、晴诺舒、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
